,share of demand shifted
elec-Base,
elec-p0.02,0.04437193393228939
elec-p0.04,0.08334542094891334
elec-p0.06,0.11853449683284054
elec-p0.08,0.15239982312588546
elec-p0.1,0.18404031451105513
heat-Base,
heat-p0.02,0.03343936104400953
heat-p0.04,0.05930478193509628
heat-p0.06,0.07995664624493312
heat-p0.08,0.09640375278673856
heat-p0.1,0.10956439800077704
tran-Base,
tran-p0.02,0.021082289490157488
tran-p0.04,0.04350802772554548
tran-p0.06,0.0656679106674233
tran-p0.08,0.09245378451735113
tran-p0.1,0.12141661758549371
